material_id,pretty_formula
mp-761819,Li4VFe(TeO6)2
mp-30705,Ti4Ga3Ni2
mp-2724,TbSb
mp-2396,HoCo2
mp-1224401,HfTiFe4
mp-1103738,Eu3S4
mp-12075,Tb(FeB)2
mp-1112111,Cs2AlTlI6
mp-1226118,Cs4BiSbCl12
mp-756207,LiCoGeO4
mp-1078299,Fe(BMo)2
mp-8965,K2Sn2S5
mp-1224848,GaAgSnSe4
mp-1226229,CrIr
mp-1522152,BaEuHfSnO6
mp-974638,NdErZn2
mp-1228338,Ba4Bi3PbO12
mp-1222100,Mg4Te3S
mp-22408,CoO
mp-1209267,Rb2VF6
mp-1206116,YFe2SiC
mp-5394,LaSF
mp-2630,SrC2
mp-1213089,CsSb4F13
mp-11185,Sm3Sb4Pt7
mp-1103281,NClO
mp-752843,Li2CuF4
mp-1189967,Pr3Os
mp-1224000,InGaCuAgTe4
mp-1183989,CsPb3
mp-20758,Cr2CoO4
mp-1095666,TbOs2
mp-1112527,Cs2NaTlCl6
mp-27814,CS14
mp-1185836,MgAg3
mp-569352,NdTl3
mp-1174492,Li5Mn3O8
mp-1114663,Rb2ScTlCl6
mp-6066,NaTaGeO5
mp-1295063,MnZnPO5
mp-862711,Sc2CdIn
mp-1104548,Ta7Co6
mp-1186469,PrPbAu2
mp-1223498,KLaTa2O7
mp-1219044,SmMg3Ni8
mp-1188713,BaMg(CO3)2
mp-11713,SiC
mp-1225724,Dy(CuS)3
mp-1716,Rh2O3
mp-1095057,VCo3
mp-643273,NaH2Pd3
mp-1217539,TbGd(PO4)2
mp-1520523,BaSrTbSbO6
mp-865220,Dy2CuRu
mp-13025,YbZnPd
mp-755453,MnP4
mp-7432,Sr(CdSb)2
mp-861875,LiHf2Re
mp-1229031,AgPd2Au
mp-1101049,Ti5TlS8
mp-21003,Y2ReC2
mp-866181,Li2NdIn
mp-4093,Cu3(PO4)2
mp-4595,VFe2Si
mp-4854,NdScGe
mp-1227831,BaSr3(CoO3)4
mp-1224994,GaCuTeSe
mp-1215353,Zr4GeSb7
mp-1111000,Na3TlF6
mp-7818,Pd4Se
mp-1205785,LuMn2SiC
mp-3161,LiAlSi
mp-1013527,BeGeP2
mp-1177394,Li4Mn3CrO8
mp-984769,CaTl2Cd
mp-582736,Eu(MgSb)2
mp-1185885,MgHg5
mp-22460,LiIn
mp-1228079,Ba3Sr(SnO3)4
mp-762390,LiV5O10
mp-976972,HoTmCu2
mp-31057,Ho3InN
mp-1225887,CsLiZnS2
mp-1221109,Nd4FeSn8
mp-1219387,Sm(GaFe)6
mp-1112967,Cs3TmCl6
mp-20785,Nd(FeGe)2
mp-1225833,CsZnFeF6
mp-567771,Ba(Si3N4)2
mp-30818,Li2AlPt
mp-8762,Er2S2O
mp-1221415,Na(Ti3Se4)2
mp-1095370,BiPdSe
mp-570863,CrCoPt2
mp-1094322,MgTi5
mp-1106351,Nd(As3Os)4
mp-8954,TaSe2
mp-30493,ZnCdPt2
mp-865426,YbNdAg2
mp-1080768,LuSnPd
mp-1187373,TbPr3
mp-85,In
mp-1070356,Rb2Te2Pd
mp-1186140,NaInPd2
mp-1079260,InSe
mp-1079988,La2Al2Ge
mp-1106279,BiI3
mp-22717,CaIn2Pd
mp-1217942,TaNbTe4
mp-3822,SrCO3
mp-30650,Mg2Ga
mp-1975,TmN
mp-1078693,BaCdSbF
mp-1222938,LaCePt2
mp-19985,TlIn(PSe3)2
mp-1181033,HoB2Ru
mp-1176519,LiVO2
mp-759764,W(OF)2
mp-1207160,Rb2SbCl6
mp-1220866,NaSn2Pd3
mp-1184708,GeBr2
mp-31447,TbAgPb
mp-865438,LuTlRh2
mp-1080508,La(GePt)2
mp-781081,VOF3
mp-1184973,Li2TlSb
mp-1522279,BaCaLaBiO6
mp-568264,SiSe2
mp-23548,AgBiO3
mp-568006,DyFe5
mp-1018783,LiBeB
mp-1226653,CePt2Au3
mp-1208858,Sr2DyBiO6
mp-756979,Rb3ClO
mp-1105394,Sr2HoMoO6
mp-1185265,Li3Sn
mp-541753,Cs2WBr6
mp-1112173,KAuCl3
mp-759093,LiMnF3
mp-22691,InSe
mp-1025113,DyInPt4
mp-31433,LuNiSn4
mp-2283,ZrCo
mp-1209950,NaYb(Pd3O4)2
mp-28567,LiBiF4
mp-28638,Gd2CCl
mp-1218915,SnTe2Pb
mp-1246966,LuMgCrS4
mp-1114677,Rb3SbF6
mp-1224996,Gd8Sb3O8
mp-637255,Ti2Sn3
mp-1078713,Tb(SiIr)2
mp-1217070,Ti2RePt
mp-1185211,LaY3
mp-1094587,LiMg2
mp-1219047,SmYCo17
mp-753192,Yb4Sb2O
mp-768963,SrLaCl5
mp-1520883,SrSmEuSbO6
mp-1549,TbPt3
mp-1225663,DyGaCu
mp-640444,Tb5NiPb3
mp-1207169,CaH3Pd
mp-1185174,LaEuAu2
mp-1206446,Rb3ErF6
mp-23067,K2PdCl6
mp-1295957,BaCoO3
mp-8945,YSnF7
mp-7632,NiMoP
mp-1798,CeMg3
mp-1227296,BiSbPt2
mp-1113343,Rb2LaCuCl6
mp-979044,Tm2CuAu
mp-571122,FeI2
mp-1187939,ZnSnRh2
mp-1183791,DyLuAg2
mp-1025372,Y2Cr2C3
mp-1028663,WSeS
mp-32686,CoO2
mp-1094090,Ni4N
mp-30491,MgCd3
mp-1215629,Zn3PBr3
mp-756029,Zr2N2O
mp-554775,CaCuO2
mp-867213,Er2OsPd
mp-1094580,LiMg
mp-1208946,Sr2FeIrO6
mp-1104873,Tm(Al2Fe)4
mp-3284,CeSi2Pt
mp-864959,Dy2CuOs
mp-558610,Sc(ReO3)2
mp-8896,Sr2B4Rh5
mp-1078049,Zn(GaS2)2
mp-30392,Li2InAu
mp-1101381,SbOF3
mp-27180,NdSBr
mp-2955,NaMgF3
mp-1185667,Na3Ge
mp-975780,Li2TlSn
mp-1217009,TiAl2Zn
mp-1205816,Tb2MgSi2
mp-18733,AlTl(MoO4)2
mp-1025321,Rb2Cr(BrCl)2
mp-16237,La(SiAg)2
mp-11711,Gd(BO2)3
mp-2529,PrRh2
mp-769466,Y2Ge2O7
mp-9208,V2B3
mp-1104810,Sr(GaS2)2
mp-1212803,DyTeAs
mp-27563,Rb2In4O7
mp-3363,Sc2Ni2Sn
mp-1009490,O2
mp-14152,SmNbO4
mp-1247036,Mg2Ti3CrS8
mp-975639,Pr3Er
mp-22895,CuI
mp-1276532,VReO4
mp-557151,ZnS
mp-1225338,Dy4Cu5P7
mp-1205622,YPRu2C
mp-1226863,CaBHO3
mp-10714,TmRh3C
mp-23219,CuBr2
mp-1246164,Ba3CoN3
mp-1188342,Tb5Ga3
mp-8253,Na5ReO6
mp-1185386,LiGdTl2
mp-1216392,VCrO3
mp-1218438,Sr3Nd(FeO4)2
